sentiment,topic_id,document_count,language_count,shannon_diversity,languages,dominant_language,dominance_percentage,geographic_spread,category_spread
positivo,13,2485,15,0.957,"{'es': 1312, 'en': 1043, 'fr': 44, 'it': 31, 'de': 18, 'nl': 11, 'pt': 7, 'pl': 4, 'no': 3, 'bg': 2, 'da': 2, 'sv': 2, 'ar': 2, 'el': 2, 'ro': 2}",es,52.8,8,10
positivo,27,2856,16,0.957,"{'es': 1705, 'en': 975, 'fr': 65, 'it': 47, 'de': 27, 'pt': 10, 'nl': 5, 'pl': 5, 'cs': 4, 'hu': 3, 'ar': 2, 'el': 2, 'fi': 2, 'af': 2, 'lt': 1, 'ca': 1}",es,59.7,8,10
positivo,22,2376,13,0.956,"{'es': 1471, 'en': 747, 'fr': 50, 'de': 41, 'it': 30, 'nl': 15, 'pt': 11, 'ca': 4, 'fi': 3, 'pl': 1, 'lv': 1, 'ro': 1, 'ko': 1}",es,61.91,8,10
negativo,130,481,16,0.95,"{'es': 349, 'en': 92, 'it': 9, 'fr': 8, 'sv': 4, 'de': 3, 'nl': 3, 'el': 2, 'sk': 2, 'no': 2, 'bg': 2, 'pl': 1, 'cs': 1, 'pt': 1, 'hu': 1, 'ro': 1}",es,72.56,8,10
negativo,81,1215,16,0.936,"{'es': 835, 'en': 296, 'nl': 29, 'fr': 9, 'pt': 9, 'tr': 8, 'sv': 6, 'de': 5, 'no': 5, 'ro': 3, 'pl': 3, 'it': 2, 'da': 2, 'ru': 1, 'ja': 1, 'hu': 1}",es,68.72,8,12
negativo,203,636,13,0.936,"{'es': 472, 'en': 105, 'pt': 12, 'it': 10, 'de': 10, 'fr': 10, 'pl': 4, 'nl': 4, 'tr': 2, 'sv': 2, 'he': 2, 'sl': 2, 'sk': 1}",es,74.21,8,11
positivo,37,1817,18,0.935,"{'es': 1124, 'en': 594, 'it': 29, 'fr': 22, 'de': 17, 'pt': 7, 'ca': 4, 'nl': 3, 'pl': 3, 'lt': 3, 'tr': 3, 'sk': 2, 'ru': 1, 'hu': 1, 'cs': 1, 'ja': 1, 'da': 1, 'ro': 1}",es,61.86,8,12
positivo,21,4487,22,0.933,"{'es': 2684, 'en': 1563, 'fr': 75, 'it': 70, 'de': 41, 'pt': 16, 'nl': 6, 'no': 4, 'ro': 4, 'pl': 4, 'ru': 3, 'fi': 3, 'af': 2, 'da': 2, 'tl': 2, 'lt': 2, 'tr': 1, 'cy': 1, 'hu': 1, 'sv': 1, 'bg': 1, 'ar': 1}",es,59.82,8,11
negativo,37,528,14,0.928,"{'es': 387, 'en': 94, 'fr': 18, 'de': 6, 'pl': 5, 'cs': 5, 'pt': 4, 'el': 2, 'tr': 2, 'nl': 1, 'sl': 1, 'bg': 1, 'lt': 1, 'ca': 1}",es,73.3,8,11
negativo,107,1008,21,0.926,"{'es': 726, 'en': 213, 'nl': 16, 'de': 10, 'fr': 6, 'no': 4, 'cs': 4, 'pl': 4, 'tr': 3, 'it': 3, 'sv': 3, 'hr': 2, 'hu': 2, 'ru': 2, 'pt': 2, 'ar': 2, 'he': 2, 'ro': 1, 'ca': 1, 'zh-cn': 1, 'da': 1}",es,72.02,8,11
