season,weather,total_documents,sentiment_breakdown,dominant_sentiment,unique_topics,unique_languages,unique_cities
Otoño,"Día con lluvia intensa, fresco y agradable",3258,"{'positivo': 1480, 'neutro': 1205, 'negativo': 573}",positivo,187,25,5
Otoño,"Día cielo con intervalos, cálido, sin lluvia",43755,"{'neutro': 28460, 'positivo': 12058, 'negativo': 3237}",neutro,205,35,7
Otoño,"Día con lloviznas, cálido",7573,"{'neutro': 3979, 'positivo': 2929, 'negativo': 665}",neutro,182,26,7
Otoño,"Día con lluvia moderada, cálido",7004,"{'neutro': 3714, 'positivo': 2626, 'negativo': 664}",neutro,182,29,7
Otoño,"Día soleado, cálido, sin lluvia",30951,"{'neutro': 19252, 'positivo': 8900, 'negativo': 2799}",neutro,207,37,7
Otoño,"Día soleado, fresco y agradable, sin lluvia",13499,"{'positivo': 6946, 'neutro': 5256, 'negativo': 1297}",positivo,198,31,5
Otoño,"Día con lluvia intensa, cálido",3985,"{'neutro': 1813, 'positivo': 1729, 'negativo': 443}",neutro,175,22,7
Otoño,"Día soleado, sin lluvia",159,"{'neutro': 140, 'negativo': 10, 'positivo': 9}",neutro,86,6,4
Otoño,"Día cielo con intervalos, sin lluvia",48,"{'neutro': 43, 'positivo': 3, 'negativo': 2}",neutro,35,4,1
Otoño,"Día soleado, muy caluroso, sin lluvia",235,"{'neutro': 228, 'positivo': 5, 'negativo': 2}",neutro,114,5,4
Otoño,"Día, sin lluvia",1493,"{'neutro': 951, 'positivo': 398, 'negativo': 144}",neutro,156,13,5
Otoño,"Día, fresco y agradable, sin lluvia",907,"{'positivo': 373, 'neutro': 308, 'negativo': 226}",positivo,130,15,2
Otoño,"Día cielo nublado, frío, sin lluvia",735,"{'positivo': 416, 'neutro': 208, 'negativo': 111}",positivo,115,11,1
Otoño,"Día soleado, frío, sin lluvia",1338,"{'positivo': 1167, 'neutro': 121, 'negativo': 50}",positivo,106,5,1
Otoño,"Día cielo con intervalos, frío, sin lluvia",1051,"{'neutro': 495, 'positivo': 337, 'negativo': 219}",neutro,149,12,2
Otoño,"Día con lluvia moderada, frío",546,"{'neutro': 224, 'positivo': 211, 'negativo': 111}",neutro,118,11,1
Otoño,Día con lloviznas,153,"{'positivo': 60, 'neutro': 56, 'negativo': 37}",positivo,60,6,1
Otoño,"Día con lloviznas, frío",314,"{'positivo': 234, 'neutro': 46, 'negativo': 34}",positivo,68,3,2
Otoño,"Día, cálido, sin lluvia",880,"{'positivo': 748, 'neutro': 94, 'negativo': 38}",positivo,89,8,3
Otoño,Día con lluvia intensa,56,"{'neutro': 53, 'positivo': 3}",neutro,39,2,1
