id,ciudad,titulo,rating,precio
book_a0172,Barcelona,"Visita al monasterio de Montserrat desde Barcelona, con ascenso en tren cremallera",4.39,57.35
book_a0173,Barcelona,Visita guiada a La Sagrada Familia en Barcelona con entradas,4.39,79.0
book_a0174,Barcelona,Aerobús del aeropuerto de Barcelona con audioguía de la ciudad,4.0,12.0
book_a0175,Barcelona,Tour por lo mejor de la Sagrada Familia,5.0,45.0
book_a0176,Barcelona,Show Flamenco Auténtico en el Teatro Flamenco Barcelona,5.0,37.05
book_a0177,Barcelona,Crucero en catamarán con jazz en directo,4.8,23.0
book_a0178,Barcelona,Tour autoguiado por el Palau de la Música Catalana,4.6,22.0
book_a0179,Barcelona,"Navegación 4h por la Costa de Barcelona (Baño, Aperitivos y Bebidas)",4.7,79.0
book_a0180,Barcelona,Exclusiva visita guiada por Park Guell con acceso rápido,3.6,37.0
book_a0181,Barcelona,Safari fotográfico autoguiado en Barcelona con fotolibro digital,3.8,3.0
book_a0182,Barcelona,Tour de Sesión de Fotos Profesional - Lugares emblemáticos de Barcelona,5.0,38.0
book_a0183,Barcelona,Entrada sin colas a Casa Batlló,4.39,48.0
book_a0184,Barcelona,Montserrat completa visita guiada y actuación del coro de niños,4.3,80.0
book_a0185,Barcelona,Crucero en barco por Aperol Spritz,3.7,20.0
book_a0186,Barcelona,Recorrido histórico en bicicleta eléctrica en Barcelona,4.5,24.0
book_a0187,Barcelona,Espectáculo de flamenco en el Tablao Cordobés,4.5,48.0
book_a0188,Barcelona,Entrada oficial de Park Guell,2.3,18.0
book_a0189,Barcelona,Excursión de una día a la Costa Brava con paseo en barco,4.8,57.0
book_a0190,Barcelona,Noche Flamenca en el Tablao de Carmen con Menú Degustación o Cena,4.8,154.0
book_a0191,Barcelona,"Barcelona: tour en grupo reducido por el casco antiguo, el castillo de Montjuic y el teleférico",4.5,55.0
book_a0192,Barcelona,Pub Crawl Barcelona by EVOLVE La MEJOR experiencia nocturna,4.3,20.0
book_a0193,Barcelona,Entrada al Portaventura Caribe Aquatic Park con transporte ida y vuelta desde Barcelona,5.0,65.0
book_a0194,Barcelona,Visita guiada a la Sagrada Familia con acceso sin colas,4.4,45.0
book_a0195,Barcelona,Tour de día completo por el parque acuático PortAventura Caribe,4.2,65.0
book_a0196,Barcelona,Excursión de medio día a Montserrat con tres opciones de salida,4.7,57.0
book_a0197,Barcelona,Ruta de bares en Barcelona,4.39,15.0
book_a0198,Barcelona,Recorrido en Segway por Barcelona,4.9,40.0
book_a0199,Barcelona,Tour Español de Vinos y Tapas en un Barrio Local de Barcelona,5.0,77.0
book_a0200,Barcelona,Visita privada a la Sagrada Familia con guía experto,4.5,70.0
book_a0201,Barcelona,Entrada a White Rabbit The Off-Museum of Barcelona,4.6,10.0
